,Year Manufactured,Engine Capacity,Warranty,Mileage,Price
768,2019,4.0,1,24999.0,1180000
769,2010,1.6,0,109999.0,14800
770,2018,2.0,1,24999.0,278000
771,2021,2.0,1,14999.0,458000
772,2018,2.5,1,39999.0,269888
773,2017,2.5,1,29999.0,202888
774,2018,5.0,1,29999.0,688000
776,2020,2.5,0,34999.0,279000
777,2019,2.5,1,29999.0,241800
778,2019,2.5,1,19999.0,238888
779,2013,1.6,0,129999.0,36800
780,2020,2.8,3,19999.0,47500
781,2018,3.0,0,54999.0,648000
782,2012,2.5,0,89999.0,27800
786,2016,2.5,2,69999.0,228000
787,2008,1.8,0,139999.0,26800
788,2014,2.0,0,139999.0,139800
792,2014,1.3,0,84999.0,26800
793,2011,2.0,0,69999.0,48800
797,2009,1.6,0,94999.0,9000
798,2010,1.5,0,99999.0,22800
801,2015,4.2,0,179999.0,75500
803,2015,6.3,0,19999.0,1390000
809,2019,2.5,0,29999.0,228800
810,2010,4.3,0,39999.0,59900
811,2011,2.5,0,109999.0,35800
812,2018,3.0,1,34999.0,438000
821,2014,2.2,0,94999.0,54800
822,1995,1.8,0,109999.0,41800
823,2020,2.0,1,4999.0,368000
824,2015,4.0,0,79999.0,398000
825,2018,5.0,1,24999.0,628000
826,2019,4.3,1,9999.0,998000
827,2021,2.3,1,9999.0,335000
831,2019,2.5,5,29999.0,178888
832,2016,2.5,0,74999.0,223000
834,2022,3.0,0,4999.0,70000
835,2020,2.5,5,14999.0,155000
837,2012,1.6,0,99999.0,35800
842,2011,4.8,0,64999.0,118800
843,2009,3.5,0,99999.0,85500
